Depth (m),Isobath Area (m2),Radius (m),Volume (m3),(1/A)dA/dz (m-1),Interpolated ()
150,282808650,9488,27337493679,0.0045,true
151,281548200,9467,27055315488,0.0045,true
152,280290000,9446,26774396623,0.0045,false
153,279033910,9424,26494734903,0.0045,true
154,277779790,9403,26216328289,0.0045,true
155,276527460,9382,25939174899,0.0045,true
156,275276780,9361,25663273016,0.0045,true
157,274027580,9339,25388621072,0.0046,true
158,272779710,9318,25115217665,0.0046,true
159,271533000,9297,24843061548,0.0046,true
160,270287310,9276,24572151631,0.0046,true
161,269042470,9254,24302486981,0.0046,true
162,267798310,9233,24034066831,0.0046,true
163,266554700,9211,23766890567,0.0047,true
164,265311450,9190,23500957734,0.0047,true
165,264068430,9168,23236268038,0.0047,true
166,262825460,9147,22972821337,0.0047,true
167,261582390,9125,22710617658,0.0048,true
168,260339060,9103,22449657179,0.0048,true
169,259095320,9081,22189940238,0.0048,true
170,257851000,9060,21931467327,0.0048,true
171,256605950,9038,21674239103,0.0049,true
172,255360000,9016,21418256381,0.0049,false
173,254113050,8994,21163520110,0.0049,true
174,252865170,8972,20910031256,0.0049,true
175,251616470,8949,20657790694,0.005,true
176,250367080,8927,20406799178,0.005,true
177,249117120,8905,20157057339,0.005,true
178,247866710,8882,19908565686,0.005,true
179,246615960,8860,19661324614,0.0051,true
180,245364990,8838,19415334404,0.0051,true
181,244113930,8815,19170595211,0.0051,true
182,242862890,8792,18927107069,0.0052,true
183,241611990,8770,18684869898,0.0052,true
184,240361350,8747,18443883498,0.0052,true
185,239111100,8724,18204147545,0.0052,true
186,237861340,8701,17965661598,0.0053,true
187,236612210,8678,17728425097,0.0053,true
188,235363810,8656,17492437362,0.0053,true
189,234116270,8633,17257697598,0.0053,true
190,232869710,8610,17024204886,0.0054,true
191,231624250,8587,16791958184,0.0054,true
192,230380000,8563,16560956338,0.0054,false
193,229136960,8540,16331198138,0.0054,true
194,227894600,8517,16102682640,0.0055,true
195,226652260,8494,15875409493,0.0055,true
196,225409280,8471,15649379008,0.0055,true
