Date;Time (UTC);ID;Type;Parameters;Comments;Operator;
21.11.2023;11:15:00;39;Maintenance;"Redox;Redox;bulkhead version;N/A(CTD715681)";cleaning;Roxane Fillion;
21.11.2023;11:30:00;39;Maintenance;"Flow Conductivity Sensor;Conductivity;N/A;0617547(CTD715681)";cleaning;Roxane Fillion;
21.11.2023;11:45:00;39;Check field;"Flow Conductivity Sensor;Conductivity;N/A;0617547(CTD715681)";Check of conductivity with standard;Roxane Fillion;Check_Idronaut_Conductivity_715681_20231121
21.11.2023;12:00:00;39;Check field;"Pressure Transducer;pressure;PA-10;F227251(CTD715681)";Simple check of pressure out of water (0.15) vs immerged (0.18);Roxane Fillion;Check_Idronaut_Pressure_715681_20231121
21.11.2023;14:30:00;39;Deployment/reinstalled;"CTD;multiparameter;OCEAN SEVEN 316Plus;715681";back to water;Roxane Fillion;
21.11.2023;14:30:00;40;Issue;"ph glass;ph;bulkhead version;1122950(CTD715681)";Weird data (seen later : KCL cup forgotten on the sensor);Guillaume Cunillera;
20.12.2023;09:30:00;41;Recovery/removal;"CTD;multiparameter;OCEAN SEVEN 316Plus;715681";out for maintenance;Jérémy Keller;
20.12.2023;10:00:00;40;Repair;"ph glass;ph;bulkhead version;1122950(CTD715681)";Problem resolved. Forgot to remove the PH KCL cup ;Sébastien Lavanchy;
20.12.2023;10:59:00;41;Calibration Field;"Do;Do;optical sensor;22/11052(CTD715681)";OPT_0.2% and OPT_0.2 done;Jérémy Keller;Cal_Idronaut_OPT0.2_OPT0.2%_715681_20232012
20.12.2023;11:15:00;41;Calibration Field;"ph glass;ph;bulkhead version;1122950(CTD715681)";ph calibrate, check with ph4, 3,96;Jérémy Keller;Cal_Idronaut_pH_715681_20232012
20.12.2023;11:38:00;41;Calibration Field;"Pressure Transducer;pressure;PA-10;F227251(CTD715681)";Pressure calibrated;Jérémy Keller;Cal_Idronaut_Pressure_715681_20232012
20.12.2023;12:04:00;41;Check field;"Flow Conductivity Sensor;Conductivity;N/A;0617547(CTD715681)";Check of conductivity with standard;Jérémy Keller;Check_Idronaut_Conductivity_715681_20232012
20.12.2023;12:30:00;41;Deployment/reinstalled;"CTD;multiparameter;OCEAN SEVEN 316Plus;715681";Back to water;Jérémy Keller;
10.01.2024;15:00:00;42;Recovery/removal;"CTD;multiparameter;OCEAN SEVEN 316Plus;715681";Recovery for cable repair;Guillaume Cunillera;
12.01.2024;16:00:00;42;Deployment/reinstalled;"CTD;multiparameter;OCEAN SEVEN 316Plus;715681";back to the lake. Cable shortened + test shock absorber.;Guillaume Cunillera;
16.01.2024;12:00:00;43;Calibration Field;"Do;Do;optical sensor;22/11052(CTD715681)";OPT_0.2% and OPT_0.2 done;Jérémy Keller;Cal_Idronaut_OPT0.2_OPT0.2%_715681_20240116
16.01.2024;12:15:00;43;Calibration Field;"ph glass;ph;bulkhead version;1122950(CTD715681)";ph calibrate, check with ph4, 3,951;Jérémy Keller;
16.01.2024;12:30:00;43;Maintenance;"Redox;Redox;bulkhead version;N/A(CTD715681)";cleaning;Jérémy Keller;
16.01.2024;12:40:00;43;Maintenance;"Flow Conductivity Sensor;Conductivity;N/A;0617547(CTD715681)";cleaning;Jérémy Keller;
16.01.2024;12:40:00;43;Check field;"Flow Conductivity Sensor;Conductivity;N/A;0617547(CTD715681)";Check of conductivity with standard;Jérémy Keller;
16.01.2024;13:15:00;43;Deployment/reinstalled;"CTD;multiparameter;OCEAN SEVEN 316Plus;715681";back to water;Jérémy Keller;
15.02.2024;10:10:00;44;Recovery/removal;"CTD;multiparameter;OCEAN SEVEN 316Plus;715681";Out for maintenance;Jérémy Keller;
15.02.2024;10:20:00;44;Maintenance;"CTD;multiparameter;OCEAN SEVEN 316Plus;715681";Cleaning;Jérémy Keller;
15.02.2024;10:30:00;44;Calibration Field;"Do;Do;optical sensor;22/11052(CTD715681)";OPT_0.2% and OPT_0.2 done;Jérémy Keller;
15.02.2024;12:40:00;44;Calibration Field;"ph glass;ph;bulkhead version;1122950(CTD715681)";ph calibrate, check with ph4, 3,84;Jérémy Keller;
15.02.2024;12:40:00;44;Issue;"ph glass;ph;bulkhead version;1122950(CTD715681)";Offset = 1.313 : too high, new pH sensor needed;Jérémy Keller;
15.02.2024;13:05:00;44;Check field;"Flow Conductivity Sensor;Conductivity;N/A;0617547(CTD715681)";Check of conductivity with standard;Jérémy Keller;
15.02.2024;13:05:00;44;Maintenance;"Flow Conductivity Sensor;Conductivity;N/A;0617547(CTD715681)";cleaning;Jérémy Keller;
15.02.2024;13:10:00;44;Maintenance;"Redox;Redox;bulkhead version;N/A(CTD715681)";cleaning;Jérémy Keller;
15.02.2024;13:15:00;44;Maintenance;"Fluorometer;Chlorophyll, Phycoerythrin and Phycocyanin;Trilux;21-2930-004(CTD715681)";cleaning;Jérémy Keller;
15.02.2024;14:00:00;44;Deployment/reinstalled;"CTD;multiparameter;OCEAN SEVEN 316Plus;715681";Back to water;Jérémy Keller;
29.02.2024;10:00:00;45;Other;"CTD;multiparameter;OCEAN SEVEN 316Plus;715681";canble changed. New settings to 90m deep;Guillaume Cunillera;
07.03.2024;13:30:00;46;Recovery/removal;"CTD;multiparameter;OCEAN SEVEN 316Plus;715681";out for maintenance;Jérémy Keller;
07.03.2024;13:45:00;46;Maintenance;"CTD;multiparameter;OCEAN SEVEN 316Plus;715681";Cleaning;Jérémy Keller;
07.03.2024;14:00:00;46;Calibration Field;"Do;Do;optical sensor;22/11052(CTD715681)";OPT_0.2% and OPT_0.2 done;Jérémy Keller;
07.03.2024;14:18:00;46;Calibration Field;"ph glass;ph;bulkhead version;1122950(CTD715681)";ph calibrate, check with ph4, 3,82;Jérémy Keller;
07.03.2024;14:23:00;46;Maintenance;"Flow Conductivity Sensor;Conductivity;N/A;0617547(CTD715681)";Cleaned and checked;Jérémy Keller;
07.03.2024;14:30:00;46;Maintenance;"Fluorometer;Chlorophyll, Phycoerythrin and Phycocyanin;Trilux;21-2930-004(CTD715681)";Cleaned;Jérémy Keller;
07.03.2024;15:15:00;46;Deployment/reinstalled;"CTD;multiparameter;OCEAN SEVEN 316Plus;715681";Back in water;Jérémy Keller;
08.03.2024;10:30:00;47;Cross comparison ;"CTD;multiparameter;OCEAN SEVEN 316Plus;715681";crosscomparison with Thetis + 2 CTDs (10:30 - 14:30);Guillaume Cunillera;
24.03.2024;04:00:00;48;Issue;"CTD;multiparameter;OCEAN SEVEN 316Plus;715681";stationary mode for no reason;Guillaume Cunillera;
27.03.2024;09:00:00;48;Repair;"CTD;multiparameter;OCEAN SEVEN 316Plus;715681";back in profile mode. ;Guillaume Cunillera;
17.04.2024;12:00:00;49;Issue;"CTD;multiparameter;OCEAN SEVEN 316Plus;715681";Strong curent, stuck with temp chain cable. Retrieve, out of water and secured;Jérémy Keller;
18.04.2024;10:53:44;49;Maintenance;"CTD;multiparameter;OCEAN SEVEN 316Plus;715681";Cleaning;Jérémy Keller;
18.04.2024;11:13:00;49;Calibration Field;"Do;Do;optical sensor;22/11052(CTD715681)";OPT_0.2% and OPT_0.2 done;Jérémy Keller;
18.04.2024;11:43:00;49;Calibration Field;"ph glass;ph;bulkhead version;1122950(CTD715681)";ph calibrate, check with ph4, 3,91;Jérémy Keller;
18.04.2024;11:53:00;49;Maintenance;"Flow Conductivity Sensor;Conductivity;N/A;0617547(CTD715681)";Cleaned and checked;Jérémy Keller;
18.04.2024;12:20:00;49;Deployment/reinstalled;"CTD;multiparameter;OCEAN SEVEN 316Plus;715681";Back in water;Jérémy Keller;
16.05.2024;10:00:00;50;Recovery/removal;"CTD;multiparameter;OCEAN SEVEN 316Plus;715681";out for maintenance;Jérémy Keller;
16.05.2024;10:35:00;50;Maintenance;"CTD;multiparameter;OCEAN SEVEN 316Plus;715681";General cleaning;Jérémy Keller;
16.05.2024;11:16:00;50;Calibration Field;"Do;Do;optical sensor;22/11052(CTD715681)";OPT_0.2% and OPT_0.2 done;Jérémy Keller;
16.05.2024;11:55:00;50;Calibration Field;"ph glass;ph;bulkhead version;1122950(CTD715681)";ph calibrate, check with ph4, 3,94;Jérémy Keller;
16.05.2024;13:56:00;50;Deployment/reinstalled;"CTD;multiparameter;OCEAN SEVEN 316Plus;715681";Back in water;Jérémy Keller;
30.05.2024;12:00:00;51;Issue;"CTD;multiparameter;OCEAN SEVEN 316Plus;1122783";problem with a pressure offset due to a digital board problem;Guillaume Cunillera;
30.05.2024;12:00:00;51;Repair;"CTD;multiparameter;OCEAN SEVEN 316Plus;1122783";problem with a pressure offset due to a digital board problem, digital board changed during the factory calibration;Guillaume Cunillera;
30.05.2024;12:00:00;52;Installation;"Fluorometer;Chlorophyll;Turner C-Fluor;21202181(CTD1122783)";installation new Turner 21202181 on OS316plus 1122783 by Idronaut;Guillaume Cunillera;20240530_Certificate_of_Calibration_1122783
30.05.2024;12:00:00;52;Calibration Factory;"CTD;multiparameter;OCEAN SEVEN 316Plus;1122783";Idronaut calibration ;Guillaume Cunillera;20240530_Certificate_of_Calibration_1122783
12.06.2024;09:30:00;53;Recovery/removal;"CTD;multiparameter;OCEAN SEVEN 316Plus;715681";out for maintenance;Jérémy Keller;
12.06.2024;10:30:00;53;Maintenance;"CTD;multiparameter;OCEAN SEVEN 316Plus;715681";general cleaning;Jérémy Keller;
12.06.2024;11:00:00;53;Calibration Field;"Do;Do;optical sensor;22/11052(CTD715681)";OPT_0.2% and OPT_0.2 done;Jérémy Keller;
12.06.2024;11:15:00;53;Calibration Field;"ph glass;ph;bulkhead version;1122950(CTD715681)";ph calibrate, check with ph4, 3,93;Jérémy Keller;
12.06.2024;11:30:00;53;Maintenance;"Flow Conductivity Sensor;Conductivity;N/A;0617547(CTD715681)";Cleaned and checked;Jérémy Keller;
12.06.2024;11:40:00;53;Maintenance;"Redox;Redox;bulkhead version;N/A(CTD715681)";polish sensor;Jérémy Keller;
12.06.2024;11:40:00;53;Maintenance;"Fluorometer;Chlorophyll;Turner C-Fluor;21201237(CTD715681)";cleaned;Jérémy Keller;
12.06.2024;12:00:00;53;Deployment/reinstalled;"CTD;multiparameter;OCEAN SEVEN 316Plus;715681";Back in water;Jérémy Keller;
12.06.2024;12:00:00;54;Issue;"Do;Do;optical sensor;22/11052(CTD715681)";Problem with OPT_0.2%, values of 0 since calibration;Jérémy Keller;
19.06.2024;13:00:00;55;Recovery/removal;"CTD;multiparameter;OCEAN SEVEN 316Plus;715681";Out for cross comparison;Jérémy Keller;
20.06.2024;12:00:00;55;Deployment/reinstalled;"CTD;multiparameter;OCEAN SEVEN 316Plus;1122783";swap Idronaut;Jérémy Keller;
